SaleID,CustomerID,ProductID,TotalAmount,SaleDate
181,35,22,1329.9,2024-10-25
216,90,17,911.52,2025-05-11
219,100,11,1141.83,2025-02-28
224,14,45,227.16,2024-06-30
242,28,23,872.37,2024-10-22
251,89,16,158.61,2024-07-14
252,85,38,355.14,2024-10-17
256,35,20,132.03,2025-05-09
264,38,15,166.77,2025-04-28
295,88,15,166.77,2024-06-14
300,8,11,1141.83,2025-03-06
303,60,45,227.16,2024-10-16
304,90,26,1285.14,2025-01-22
310,76,2,378.66,2025-05-27
315,12,31,1057.2,2025-02-08
316,53,22,1329.9,2025-05-15
338,64,46,381.24,2025-02-14
339,66,46,381.24,2025-01-22
346,1,19,200.37,2024-07-30
349,62,23,872.37,2025-03-08
359,65,38,355.14,2025-05-08
364,61,17,911.52,2024-09-08
366,84,6,339.69,2025-02-15
373,57,11,1141.83,2024-12-16
375,8,19,200.37,2024-09-26
383,60,41,1371.0,2024-10-06
387,45,38,355.14,2025-02-26
392,46,37,1266.63,2024-12-07
394,85,26,1285.14,2025-01-30
404,12,19,200.37,2024-07-29
408,35,11,1141.83,2024-08-20
409,62,19,200.37,2024-06-29
414,51,1,52.14,2024-09-13
417,75,25,1163.01,2025-01-19
440,3,4,144.09,2024-11-16
445,77,1,52.14,2025-05-09
462,10,6,339.69,2025-05-05
476,86,17,911.52,2024-12-18
480,96,48,651.21,2025-05-28
486,77,20,132.03,2024-10-02
489,29,7,909.0,2024-10-04
496,4,12,1051.74,2024-08-31
497,90,49,608.1,2025-01-29
520,99,9,637.98,2024-12-15
537,51,20,132.03,2024-10-20
541,100,23,872.37,2024-12-12
550,42,41,1371.0,2024-12-01
556,5,4,144.09,2024-11-02
564,58,7,909.0,2025-06-01
569,79,11,1141.83,2025-02-22
571,53,50,1496.04,2024-07-25
599,57,40,412.59,2025-02-05
619,41,7,909.0,2024-11-19
624,11,2,378.66,2025-02-26
627,55,8,310.26,2024-10-21
645,46,5,62.19,2024-11-04
647,99,38,355.14,2025-05-03
659,84,22,1329.9,2025-03-05
669,42,43,330.75,2024-09-17
687,47,26,1285.14,2025-06-06
691,72,8,310.26,2024-07-11
693,28,40,412.59,2025-05-19
717,67,10,890.07,2024-09-21
718,22,11,1141.83,2025-06-05
719,91,15,166.77,2025-03-11
722,36,9,637.98,2024-07-18
739,60,14,1436.46,2025-01-18
741,92,21,1246.68,2025-01-13
742,52,9,637.98,2025-06-12
761,34,47,815.37,2025-03-03
770,51,24,83.04,2024-09-29
778,42,40,412.59,2025-06-01
785,54,38,355.14,2025-03-04
787,77,31,1057.2,2025-04-03
805,70,23,872.37,2024-11-19
808,39,15,166.77,2025-03-26
811,41,31,1057.2,2024-06-24
812,72,47,815.37,2025-01-01
817,92,6,339.69,2024-10-16
821,72,45,227.16,2024-12-12
832,97,19,200.37,2024-12-24
838,24,48,651.21,2024-07-12
839,5,1,52.14,2025-05-04
848,95,22,1329.9,2024-11-17
856,58,49,608.1,2024-12-15
864,89,8,310.26,2025-01-16
873,68,46,381.24,2025-03-16
900,97,2,378.66,2025-02-11
904,45,10,890.07,2025-01-08
920,53,20,132.03,2024-12-12
926,53,10,890.07,2025-05-29
950,40,17,911.52,2024-10-05
986,51,6,339.69,2025-03-16
69,7,38,473.52,2024-12-14
99,7,6,452.92,2024-11-10
203,7,17,1215.36,2025-05-30
273,7,17,1215.36,2025-05-28
629,7,16,211.48,2024-11-13
747,7,19,267.16,2025-04-01
757,7,19,267.16,2025-04-13
826,7,7,1212.0,2025-03-22
937,7,18,1464.88,2025-03-05
44,61,16,211.48,2024-10-24
159,6,16,211.48,2024-09-19
246,11,16,211.48,2025-01-09
381,88,16,211.48,2025-01-06
735,62,16,211.48,2024-08-24
744,41,16,211.48,2024-12-15
903,30,16,211.48,2025-02-25
961,73,16,211.48,2024-07-07
11,15,19,267.16,2025-04-22
20,77,21,1662.24,2025-04-27
24,11,47,1087.16,2025-01-05
31,92,20,176.04,2024-11-06
46,13,43,441.0,2024-11-08
59,62,14,1915.28,2025-06-02
60,8,11,1522.44,2024-11-28
64,85,46,508.32,2025-03-08
108,71,10,1186.76,2024-10-16
117,95,22,1773.2,2024-08-27
121,29,13,570.2,2024-06-26
132,94,21,1662.24,2025-05-29
142,40,43,441.0,2025-04-10
145,54,43,441.0,2025-03-10
151,84,21,1662.24,2024-10-14
162,25,46,508.32,2025-01-09
175,96,31,1409.6,2025-05-02
191,46,20,176.04,2024-07-09
194,29,18,1464.88,2025-03-17
195,63,2,504.88,2024-07-23
196,44,43,441.0,2024-06-16
204,42,14,1915.28,2024-08-01
205,42,22,1773.2,2024-07-23
206,36,49,810.8,2025-05-09
215,73,14,1915.28,2025-03-18
221,40,37,1688.84,2024-10-06
234,69,50,1994.72,2025-04-08
237,12,18,1464.88,2024-07-30
239,73,40,550.12,2024-09-29
240,44,2,504.88,2025-03-07
241,42,12,1402.32,2025-06-03
248,89,31,1409.6,2024-09-16
250,38,15,222.36,2024-12-18
260,25,14,1915.28,2025-03-08
274,15,5,82.92,2024-10-09
283,39,38,473.52,2024-07-12
314,56,41,1828.0,2025-04-19
327,80,49,810.8,2025-03-25
330,17,19,267.16,2025-06-04
336,29,8,413.68,2024-10-23
340,54,31,1409.6,2025-04-08
347,76,38,473.52,2024-10-31
355,41,48,868.28,2025-01-25
356,91,25,1550.68,2025-03-28
365,80,45,302.88,2024-08-29
368,41,41,1828.0,2024-07-23
386,21,5,82.92,2024-12-13
412,87,47,1087.16,2025-03-06
415,69,8,413.68,2024-10-05
427,18,25,1550.68,2024-11-12
431,63,40,550.12,2024-10-12
452,17,48,868.28,2024-08-23
459,8,31,1409.6,2024-11-09
461,63,46,508.32,2025-01-19
466,92,21,1662.24,2025-03-10
472,58,15,222.36,2024-07-19
484,53,23,1163.16,2024-12-30
488,28,10,1186.76,2024-06-29
503,28,25,1550.68,2025-04-23
517,6,15,222.36,2024-12-07
522,1,32,1226.08,2024-12-17
523,23,9,850.64,2025-02-14
527,56,2,504.88,2024-07-19
529,55,37,1688.84,2024-08-23
530,91,41,1828.0,2024-10-30
531,38,8,413.68,2024-07-18
546,23,50,1994.72,2025-02-03
579,45,20,176.04,2024-09-01
587,28,22,1773.2,2024-09-20
596,22,47,1087.16,2025-02-14
600,97,48,868.28,2024-11-10
652,18,5,82.92,2025-01-23
660,16,24,110.72,2024-06-21
661,52,48,868.28,2025-02-17
663,64,45,302.88,2025-06-13
665,11,47,1087.16,2025-05-23
676,86,41,1828.0,2024-12-19
692,100,17,1215.36,2025-02-02
696,58,12,1402.32,2025-05-01
708,92,47,1087.16,2025-01-12
715,99,9,850.64,2024-10-07
731,99,37,1688.84,2024-11-14
745,16,18,1464.88,2024-08-02
775,92,22,1773.2,2024-09-30
795,25,2,504.88,2025-04-28
810,89,46,508.32,2025-06-07
837,5,26,1713.52,2025-01-21
850,23,40,550.12,2025-04-19
853,24,9,850.64,2025-03-20
861,86,8,413.68,2024-12-22
862,40,11,1522.44,2025-05-26
866,29,9,850.64,2025-05-25
881,58,4,192.12,2025-02-28
906,5,43,441.0,2025-01-28
922,95,12,1402.32,2025-02-28
925,68,21,1662.24,2024-12-11
932,68,9,850.64,2024-10-30
944,96,49,810.8,2024-09-19
946,91,14,1915.28,2024-11-19
948,100,19,267.16,2025-01-31
951,66,32,1226.08,2024-06-29
952,13,47,1087.16,2024-08-18
958,75,47,1087.16,2024-12-22
976,62,43,441.0,2025-03-05
981,65,45,302.88,2025-01-06
991,12,26,1713.52,2024-11-06
998,89,37,1688.84,2024-08-11
158,26,10,296.69,2024-08-25
299,35,10,296.69,2024-10-02
363,84,10,296.69,2024-12-11
563,65,10,296.69,2024-10-21
956,95,10,296.69,2024-07-18
8,88,47,271.79,2025-06-02
22,40,16,52.87,2024-10-26
37,76,15,55.59,2024-07-01
38,10,46,127.08,2025-03-12
39,30,5,20.73,2024-10-22
45,53,13,142.55,2024-10-13
48,60,47,271.79,2024-07-02
68,96,21,415.56,2024-11-17
76,6,40,137.53,2025-02-01
84,73,7,303.0,2025-04-04
92,39,43,110.25,2025-05-19
93,18,17,303.84,2024-11-29
105,2,8,103.42,2025-06-14
119,35,11,380.61,2024-07-25
140,41,43,110.25,2025-03-31
160,79,50,498.68,2025-03-31
165,97,50,498.68,2024-10-04
190,49,31,352.4,2024-07-27
200,73,43,110.25,2024-06-24
210,84,5,20.73,2024-07-25
214,61,43,110.25,2025-04-17
218,96,46,127.08,2024-09-12
220,14,38,118.38,2024-12-23
249,58,2,126.22,2024-07-14
265,23,20,44.01,2025-03-29
285,8,40,137.53,2024-07-31
287,34,43,110.25,2025-01-12
331,90,32,306.52,2025-04-26
371,30,48,217.07,2024-10-20
372,56,7,303.0,2024-07-14
379,22,12,350.58,2024-09-27
390,50,31,352.4,2025-04-19
393,90,19,66.79,2025-02-26
395,2,37,422.21,2025-02-02
401,81,7,303.0,2025-04-22
413,72,24,27.68,2025-06-14
425,39,32,306.52,2025-02-13
436,83,23,290.79,2024-11-22
450,76,21,415.56,2025-02-09
451,23,17,303.84,2024-07-11
453,68,8,103.42,2025-01-23
455,66,38,118.38,2024-09-28
469,56,7,303.0,2024-10-21
474,54,47,271.79,2025-02-10
490,72,24,27.68,2025-02-27
498,44,23,290.79,2024-10-01
500,85,26,428.38,2025-04-23
501,19,48,217.07,2024-10-13
518,77,4,48.03,2024-08-03
521,38,21,415.56,2024-08-05
526,10,26,428.38,2025-01-08
553,36,38,118.38,2025-04-08
560,71,48,217.07,2024-08-20
566,83,12,350.58,2025-05-03
585,66,24,27.68,2024-07-03
620,19,9,212.66,2024-10-29
623,58,40,137.53,2025-06-02
638,86,43,110.25,2024-07-30
639,68,24,27.68,2024-08-07
642,50,31,352.4,2025-03-26
654,6,13,142.55,2025-02-14
668,42,7,303.0,2025-01-02
695,16,9,212.66,2025-01-03
698,86,23,290.79,2025-04-29
706,17,40,137.53,2024-10-26
716,65,4,48.03,2024-08-11
720,67,19,66.79,2024-07-28
732,80,41,457.0,2025-03-06
753,40,32,306.52,2024-12-17
756,75,23,290.79,2024-06-18
763,6,26,428.38,2024-11-05
769,16,9,212.66,2025-03-23
783,39,31,352.4,2024-12-05
789,74,15,55.59,2024-06-29
793,88,16,52.87,2025-05-16
794,74,45,75.72,2025-05-19
799,61,48,217.07,2024-08-25
847,92,12,350.58,2025-03-08
852,12,26,428.38,2024-07-12
854,42,16,52.87,2024-07-16
860,89,16,52.87,2024-07-18
874,10,37,422.21,2024-11-05
887,75,5,20.73,2025-04-14
888,55,23,290.79,2025-03-17
889,70,4,48.03,2025-02-27
894,49,25,387.67,2024-07-11
899,94,15,55.59,2024-12-11
905,25,47,271.79,2024-07-06
907,79,50,498.68,2024-12-23
913,70,14,478.82,2025-03-25
923,72,32,306.52,2025-06-08
935,58,24,27.68,2024-07-25
943,28,13,142.55,2025-02-03
969,5,5,20.73,2024-08-06
980,69,19,66.79,2025-03-20
982,23,7,303.0,2025-02-28
993,8,41,457.0,2025-01-05
994,90,11,380.61,2025-04-14
27,85,31,1762.0,2025-04-15
28,22,17,1519.2,2025-02-21
56,13,4,240.15,2024-11-23
66,28,4,240.15,2025-05-15
72,24,5,103.65,2024-07-16
74,52,8,517.1,2025-06-14
77,54,43,551.25,2025-04-05
85,69,14,2394.1,2025-01-28
91,2,43,551.25,2025-01-30
94,14,48,1085.35,2024-07-01
106,89,10,1483.45,2025-02-25
107,5,24,138.4,2024-09-07
129,34,12,1752.9,2025-04-10
139,86,22,2216.5,2024-06-25
150,56,38,591.9,2025-02-01
155,66,43,551.25,2024-11-02
167,23,45,378.6,2024-07-25
168,60,4,240.15,2025-01-21
188,54,25,1938.35,2025-02-22
189,90,2,631.1,2024-07-27
198,17,40,687.65,2024-10-01
199,4,26,2141.9,2025-03-17
208,3,48,1085.35,2024-07-06
212,26,2,631.1,2024-06-22
232,56,12,1752.9,2024-11-06
258,41,8,517.1,2024-08-25
261,36,47,1358.95,2024-12-16
270,14,1,86.9,2025-04-09
275,63,5,103.65,2025-04-01
281,29,50,2493.4,2024-09-23
284,40,37,2111.05,2024-11-05
297,55,8,517.1,2024-07-13
301,77,48,1085.35,2025-01-18
306,57,6,566.15,2024-12-18
309,12,15,277.95,2024-09-23
313,36,12,1752.9,2024-07-14
323,99,26,2141.9,2024-10-02
324,1,43,551.25,2025-05-29
332,4,41,2285.0,2025-05-03
350,71,49,1013.5,2024-07-29
380,79,25,1938.35,2025-04-18
385,60,19,333.95,2024-07-07
419,61,2,631.1,2025-05-25
420,72,21,2077.8,2025-01-22
426,13,16,264.35,2024-09-19
435,88,24,138.4,2024-07-16
439,85,14,2394.1,2024-08-22
442,27,5,103.65,2024-07-03
487,14,37,2111.05,2024-08-15
493,99,40,687.65,2025-05-31
499,24,10,1483.45,2024-08-27
502,12,48,1085.35,2025-01-26
506,100,37,2111.05,2025-04-30
508,21,49,1013.5,2025-03-08
528,10,21,2077.8,2025-04-30
547,60,49,1013.5,2025-06-10
549,88,37,2111.05,2024-11-12
565,92,6,566.15,2025-02-08
583,86,45,378.6,2025-03-18
592,85,22,2216.5,2024-12-14
595,89,50,2493.4,2025-03-27
605,100,25,1938.35,2024-09-17
625,28,10,1483.45,2024-11-04
655,41,20,220.05,2024-09-29
678,4,10,1483.45,2025-05-22
682,47,25,1938.35,2025-04-01
726,22,43,551.25,2025-01-31
733,64,41,2285.0,2025-06-04
749,21,21,2077.8,2025-03-09
754,12,26,2141.9,2024-07-20
766,10,25,1938.35,2025-01-07
767,58,49,1013.5,2024-09-02
768,36,40,687.65,2025-01-15
779,21,26,2141.9,2024-10-05
780,95,20,220.05,2024-09-12
782,69,32,1532.6,2025-01-05
788,84,50,2493.4,2024-11-18
791,68,41,2285.0,2024-06-24
802,85,31,1762.0,2024-06-17
822,18,7,1515.0,2025-01-10
834,99,6,566.15,2024-12-07
869,61,49,1013.5,2024-11-11
871,88,49,1013.5,2024-08-13
876,26,37,2111.05,2024-07-25
879,88,14,2394.1,2024-08-03
880,63,6,566.15,2025-04-28
895,88,43,551.25,2024-09-30
897,16,12,1752.9,2024-10-16
915,30,47,1358.95,2025-03-30
916,41,37,2111.05,2024-12-01
927,49,12,1752.9,2025-02-14
930,60,4,240.15,2024-11-06
967,63,12,1752.9,2024-09-24
968,83,4,240.15,2024-06-23
973,2,14,2394.1,2025-01-14
975,80,41,2285.0,2024-10-26
977,3,1,86.9,2024-07-09
984,25,40,687.65,2024-10-11
996,73,7,1515.0,2025-02-15
406,26,9,1063.3,2025-05-12
446,19,9,1063.3,2024-12-20
686,74,9,1063.3,2025-01-22
713,45,9,1063.3,2024-07-17
800,91,9,1063.3,2024-09-08
843,64,9,1063.3,2024-12-23
966,22,9,1063.3,2025-01-23
233,84,18,1831.1,2024-12-08
243,44,18,1831.1,2024-10-13
244,90,18,1831.1,2025-01-10
329,27,18,1831.1,2025-06-07
464,17,18,1831.1,2024-07-28
1000,88,18,1831.1,2024-12-03
70,65,34,171.76,2024-09-05
245,2,34,171.76,2024-07-29
898,51,34,171.76,2024-10-28
919,85,34,171.76,2025-01-25
78,73,34,257.64,2024-08-09
326,25,34,257.64,2025-02-04
467,77,34,257.64,2025-04-29
516,63,34,257.64,2024-11-26
979,3,34,257.64,2025-03-06
33,57,34,343.52,2024-07-27
312,61,34,343.52,2024-08-11
690,64,34,343.52,2025-04-18
872,11,34,343.52,2024-10-10
19,100,34,85.88,2024-11-15
536,52,34,85.88,2025-02-14
591,95,34,85.88,2024-11-24
610,92,34,85.88,2024-11-11
136,1,34,429.4,2024-10-16
407,47,34,429.4,2024-11-03
568,57,34,429.4,2025-02-11
152,57,29,171.02,2024-11-13
174,71,29,171.02,2024-08-15
912,52,29,171.02,2025-01-24
454,61,29,256.53,2025-03-26
552,61,29,256.53,2025-05-04
614,29,29,256.53,2025-05-14
672,89,29,256.53,2024-12-02
684,87,29,256.53,2025-03-31
282,49,29,342.04,2025-03-22
433,28,29,342.04,2025-06-07
510,35,29,342.04,2024-11-06
179,36,29,85.51,2024-10-09
302,37,29,85.51,2025-04-23
328,81,29,85.51,2025-01-06
360,13,29,85.51,2024-12-15
402,40,29,85.51,2024-10-18
679,87,29,85.51,2025-05-22
878,67,29,85.51,2024-11-19
55,10,29,427.55,2025-03-09
103,95,29,427.55,2025-04-06
172,97,29,427.55,2025-04-24
612,35,29,427.55,2025-03-18
670,40,29,427.55,2024-11-02
7,33,36,113.71,2024-11-05
148,52,36,113.71,2024-10-03
334,40,36,113.71,2024-06-17
481,17,36,113.71,2025-04-08
641,65,36,113.71,2025-01-26
743,66,36,113.71,2024-12-10
36,76,36,227.42,2024-12-10
247,63,36,227.42,2024-06-18
764,73,36,227.42,2024-12-26
829,1,36,227.42,2024-10-07
525,65,36,341.13,2024-08-10
765,47,36,341.13,2024-07-26
801,27,36,341.13,2024-07-09
113,100,36,454.84,2024-07-20
279,16,36,454.84,2024-08-05
581,40,36,454.84,2024-10-15
992,49,36,454.84,2025-03-13
253,61,36,568.55,2025-01-14
482,76,36,568.55,2025-02-02
704,47,36,568.55,2024-12-17
875,8,36,568.55,2024-07-10
921,8,36,568.55,2025-06-10
957,34,36,568.55,2024-07-12
1,18,33,1077.6,2024-07-10
343,77,33,538.8,2025-01-05
456,58,33,538.8,2025-03-23
540,68,33,538.8,2024-09-26
677,47,33,538.8,2025-04-13
701,47,33,538.8,2025-03-24
228,9,33,808.2,2025-02-03
345,44,33,808.2,2024-08-21
616,51,33,808.2,2024-10-22
851,55,33,808.2,2024-11-22
863,88,33,808.2,2024-10-10
914,18,33,808.2,2024-11-07
173,93,33,1077.6,2024-12-09
882,17,33,1077.6,2024-10-13
71,8,33,269.4,2025-04-26
513,97,33,269.4,2024-12-07
539,10,33,269.4,2024-09-07
554,46,33,269.4,2025-03-05
773,52,33,269.4,2024-12-30
468,59,33,1347.0,2025-06-12
590,13,33,1347.0,2025-03-09
633,81,33,1347.0,2024-10-25
781,44,33,1347.0,2024-10-11
798,53,33,1347.0,2024-07-24
131,77,28,958.98,2024-10-13
227,69,28,958.98,2025-01-07
230,14,28,958.98,2024-07-04
307,6,28,958.98,2024-08-11
475,41,28,958.98,2024-10-02
674,79,28,958.98,2024-06-19
995,64,28,958.98,2024-10-31
53,18,28,639.32,2025-05-18
166,100,28,639.32,2024-06-28
671,92,28,639.32,2024-08-15
760,14,28,639.32,2024-07-17
